system,machine,arch,python_impl,python_version,pydantic_version,strict_models,defer_build,import_time_s,validate_time_s,validate_again_time_s
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14868274,0.007325917,0.000544959
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.19433550001122057,0.0071913329884409904,0.000553749967366457
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14409945788793266,0.007352625019848347,0.0005562079604715109
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14494237513281405,0.008773541077971458,0.0006246250122785568
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.15084070898592472,0.007521416060626507,0.0005692089907824993
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14535545906983316,0.007104166783392429,0.0005518330726772547
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.1447792500257492,0.007100375136360526,0.0005574580281972885
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.143491875147447,0.00709479209035635,0.0005442078690975904
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14505058294162154,0.007031458895653486,0.0005479580722749233
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14445983292534947,0.007293083006516099,0.0005464579444378614
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14251024997793138,0.007050125161185861,0.0005524579901248217
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14494379214011133,0.007358792005106807,0.0005385419353842735
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14412395795807242,0.007135583786293864,0.0005472921766340733
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.1449043748434633,0.007320750039070845,0.0005860419478267431
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14402766688726842,0.007142791990190744,0.0005406660493463278
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14307154109701514,0.006972250062972307,0.000544416019693017
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.1434177909977734,0.006999500095844269,0.0005462078843265772
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.146611541043967,0.00734324986115098,0.0005456670187413692
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.14493166701868176,0.007162666879594326,0.0005600422155112028
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,false,0.1440297500230372,0.007044791942462325,0.000576250022277236
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2726852910127491,0.002205624943599105,0.0005815410986542702
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27050591702573,0.00206574983894825,0.0005708341486752033
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27002387517131865,0.0020970830228179693,0.000546041876077652
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.3000201659742743,0.0021269170101732016,0.000576334074139595
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2729142920579761,0.0021035000681877136,0.0005759589839726686
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2713926248252392,0.0021160831674933434,0.0005648750811815262
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27062095887959003,0.002153916982933879,0.0005682918708771467
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27086608298122883,0.00208966713398695,0.0005689579993486404
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2758952078875154,0.0021979159209877253,0.0005760409403592348
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2728385410737246,0.002094666939228773,0.0005833751056343317
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27408008300699294,0.0021453751251101494,0.0005682918708771467
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27422270900569856,0.0020953339990228415,0.0005599171854555607
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27151004201732576,0.0021489588543772697,0.0005706660449504852
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27309016697108746,0.0021386670414358377,0.0005721249617636204
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27325062500312924,0.002097250195220113,0.0005679999012500048
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.272708292119205,0.002189165912568569,0.0005665828939527273
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2734545418061316,0.002146791899576783,0.0005707910750061274
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2720580829773098,0.002152583096176386,0.0005549590568989515
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.2735932089854032,0.00236270809546113,0.0006092500407248735
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,true,false,0.27729620900936425,0.0021379580721259117,0.0005493750795722008
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14328012499026954,0.0071216251235455275,0.0005482078995555639
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.1441653328947723,0.007019750075414777,0.0005560419522225857
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14447754085995257,0.007015082985162735,0.0005464169662445784
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14448541682213545,0.0070168329402804375,0.000545040937140584
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.17121391696855426,0.008312792051583529,0.0006000418215990067
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14459329191595316,0.00699395895935595,0.0005468749441206455
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.143940000096336,0.007068542065098882,0.0005430839955806732
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14636470889672637,0.007102292031049728,0.0005415419582277536
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.1439006661530584,0.006930625066161156,0.0005435000639408827
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14449670794419944,0.007042750017717481,0.0005473748315125704
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14503695792518556,0.006965999957174063,0.0005535841919481754
Darwin,arm64,64bit,CPython,3.12.3,1.10.18,false,true,0.14484275016002357,0.007001708960160613,0.0005406669806689024
